SOURCETYPE,DISIPLINE,MASTER_REF,UNIT,AREA,ISO,ITR,IDENT_CODE,GROUP,PART,TAG_NUMBER,SIZE1,SIZE2,SIZE3,SIZE4,SHORT_DESC,DESCRIPTION,QTY,UNIT,
ISO,P,SITE,2410301,PP5120P122,MD-512-09WR-ISO-PAS-AZ02-1301-21,TAG WO MS,,PV,VG,AGARFB-50,50,,,,AGARFB,VALVE GATE FLGD CL. 150 RF CS BODY,1,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09WO-ISO-WDW-AP11-0304-03,TAG WO MS,,PV,VG,AGARXP-250,250,,,,AGARXP,VALVE GATE FLGD CL. 150 RF SS BODY,1,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09WO-ISO-WDW-AP11-0301-02,TAG WO MS,,PV,VG,AGARXP-250,250,,,,AGARXP,VALVE GATE FLGD CL. 150 RF SS BODY,1,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09WO-ISO-WDW-AP11-0206-01,TAG WO MS,,PV,VG,AGARXP-50,50,,,,AGARXP,VALVE GATE FLGD CL. 150 RF SS BODY,1,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09WO-ISO-WDW-AP11-0302-02,TAG WO MS,,PV,VG,AGARXP-250,250,,,,AGARXP,VALVE GATE FLGD CL. 150 RF SS BODY,1,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09WO-ISO-WDW-AP11-0308-02,TAG WO MS,,PV,VG,AGARXP-250,250,,,,AGARXP,VALVE GATE FLGD CL. 150 RF SS BODY,1,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09WO-ISO-WDW-AP11-0213-01,TAG WO MS,,PV,VG,AGARXP-50,50,,,,AGARXP,VALVE GATE FLGD CL. 150 RF SS BODY,1,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09YF-ISO-WDW-AP11-0107-01,TAG WO MS,,PV,VG,AGARXP-250,250,,,,AGARXP,VALVE GATE FLGD CL. 150 RF SS BODY,1,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09WO-ISO-WDW-AP11-0304-06,TAG WO MS,,PV,VG,AGARXP-250,250,,,,AGARXP,VALVE GATE FLGD CL. 150 RF SS BODY,1,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09WO-ISO-WDW-AP11-0304-02,TAG WO MS,,PV,VG,AGARXP-250,250,,,,AGARXP,VALVE GATE FLGD CL. 150 RF SS BODY,1,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09WO-ISO-WDW-AP11-0208-01,TAG WO MS,,PV,VG,AGARXP-250,250,,,,AGARXP,VALVE GATE FLGD CL. 150 RF SS BODY,1,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09WO-ISO-WDW-AP11-0304-04,TAG WO MS,,PV,VG,AGLRXR-100,100,,,,AGLRXR,VALVE GLOBE FLGD CL. 150 RF SS BODY,1,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09YF-ISO-WDW-AP11-0107-05,TAG WO MS,,PV,VG,AGLRXR-150,150,,,,AGLRXR,VALVE GLOBE FLGD CL. 150 RF SS BODY,1,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09WO-ISO-WDW-AP11-0304-05,TAG WO MS,,PJ,EL,BROBPP0DB000-250-100,250,100,,,BROBPP0DB000,BRANCH OUTLET BW SCH.10S X SCH.10S A182-F304L,1,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09WO-ISO-WDW-AP11-0304-01,TAG WO MS,,PJ,EL,BROBPP0DB000-250-100,250,100,,,BROBPP0DB000,BRANCH OUTLET BW SCH.10S X SCH.10S A182-F304L,1,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09WO-ISO-WDW-AP11-0213-01,TAG WO MS,,PJ,EL,BROBPP0DB000-500-50,500,50,,,BROBPP0DB000,BRANCH OUTLET BW SCH.10S X SCH.10S A182-F304L,1,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09YF-ISO-WDW-AP11-0106-03,TAG WO MS,,PJ,EL,BROBPP0DB000-300-50,300,50,,,BROBPP0DB000,BRANCH OUTLET BW SCH.10S X SCH.10S A182-F304L,1,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09WO-ISO-WDW-AP11-0206-01,TAG WO MS,,PJ,EL,BROBPP0DB000-500-50,500,50,,,BROBPP0DB000,BRANCH OUTLET BW SCH.10S X SCH.10S A182-F304L,1,EA,
ISO,P,SITE,2000309,PP5120P101,MD-512-09MA-ISO-SQM-AA19-0009J-09,TAG WO MS,,PJ,EL,BROS0H0A1000-300-25,300,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,8,EA,
ISO,P,SITE,2000307,PP5120P11,MD-512-71H0-ISO-SCL-AA06-0744-04,TAG WO MS,,PJ,EL,BROS0H0A1000-50-40,50,40,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2425301,PP5120R65,MD-512-09MA-ISO-SLP-AA06-0218-13,TAG WO MS,,PJ,EL,BROS0H0A1000-50-20,50,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2415301,PP5120R64,MD-512-09MA-ISO-SLP-AA06-0218-03,TAG WO MS,,PJ,EL,BROS0H0A1000-50-25,50,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2410301,PP5120R83,MD-512-09MA-ISO-SLP-AA06-0218-30,TAG WO MS,,PJ,EL,BROS0H0A1000-50-25,50,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2425301,PP5120R65,MD-512-09MA-ISO-SLP-AA06-0218-09,TAG WO MS,,PJ,EL,BROS0H0A1000-50-20,50,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000309,PP5120P101,MD-512-09MA-ISO-SQM-AA19-0009J-04,TAG WO MS,,PJ,EL,BROS0H0A1000-300-25,300,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,8,EA,
ISO,P,SITE,2000312,PP5120P117,MD-512-09MA-ISO-SQM-AA19-0009J-27,TAG WO MS,,PJ,EL,BROS0H0A1000-300-25,300,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,8,EA,
ISO,P,SITE,2000307,PP5120P11,MD-512-71H0-ISO-SCL-AA06-0744-01,TAG WO MS,,PJ,EL,BROS0H0A1000-50-25,50,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,2,EA,
ISO,P,SITE,2000307,PP5120P11,MD-512-71H0-ISO-SLP-AA06-0933-01,TAG WO MS,,PJ,EL,BROS0H0A1000-100-25,100,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,3,EA,
ISO,P,SITE,2000307,PP5120P11,MD-512-71H0-ISO-SLP-AA06-0933-03,TAG WO MS,,PJ,EL,BROS0H0A1000-100-20,100,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2410301,PP5120R83,MD-512-09MA-ISO-SLP-AA06-0218-34,TAG WO MS,,PJ,EL,BROS0H0A1000-50-25,50,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000309,PP5120P101,MD-512-09MA-ISO-SQM-AA19-0009J-06,TAG WO MS,,PJ,EL,BROS0H0A1000-300-25,300,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,8,EA,
ISO,P,SITE,2000309,PP5120P101,MD-512-09MA-ISO-SQM-AA19-0009J-07,TAG WO MS,,PJ,EL,BROS0H0A1000-300-25,300,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,8,EA,
ISO,P,SITE,2000307,PP5120P11,MD-512-71H0-ISO-SLP-AA06-0933-04,TAG WO MS,,PJ,EL,BROS0H0A1000-100-20,100,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2425301,PP5120R65,MD-512-09MA-ISO-SLP-AA06-0218-15,TAG WO MS,,PJ,EL,BROS0H0A1000-50-25,50,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2425301,PP5120R65,MD-512-09MA-ISO-SLP-AA06-0218-17,TAG WO MS,,PJ,EL,BROS0H0A1000-50-20,50,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000309,PP5120P101,MD-512-09MA-ISO-SQM-AA19-0009J-03,TAG WO MS,,PJ,EL,BROS0H0A1000-300-25,300,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,8,EA,
ISO,P,SITE,2000307,PP5120P11,MD-512-71H0-ISO-SLP-AA06-0933-06,TAG WO MS,,PJ,EL,BROS0H0A1000-100-25,100,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,3,EA,
ISO,P,SITE,2000307,PP5120P11,MD-512-71H0-ISO-SLP-AA06-0933-03,TAG WO MS,,PJ,EL,BROS0H0A1000-100-25,100,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,2,EA,
ISO,P,SITE,2000307,PP5120P11,MD-512-71H0-ISO-SLP-AA06-0933-04,TAG WO MS,,PJ,EL,BROS0H0A1000-100-25,100,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,2,EA,
ISO,P,SITE,2410301,PP5120R83,MD-512-09MA-ISO-SLP-AA06-0218-25,TAG WO MS,,PJ,EL,BROS0H0A1000-50-20,50,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2410301,PP5120R83,MD-512-09MA-ISO-SLP-AA06-0218-28,TAG WO MS,,PJ,EL,BROS0H0A1000-50-25,50,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,2,EA,
ISO,P,SITE,2425301,PP5120R65,MD-512-09MA-ISO-SLP-AA06-0218-16,TAG WO MS,,PJ,EL,BROS0H0A1000-50-25,50,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2425301,PP5120R65,MD-512-09MA-ISO-SLP-AA06-0218-16,TAG WO MS,,PJ,EL,BROS0H0A1000-50-20,50,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2425301,PP5120R65,MD-512-09MA-ISO-SLP-AA06-0218-08,TAG WO MS,,PJ,EL,BROS0H0A1000-50-25,50,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2410301,PP5120R83,MD-512-09MA-ISO-SLP-AA06-0218-25,TAG WO MS,,PJ,EL,BROS0H0A1000-50-25,50,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000312,PP5120P117,MD-512-09MA-ISO-SQM-AA19-0009J-26,TAG WO MS,,PJ,EL,BROS0H0A1000-300-25,300,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,8,EA,
ISO,P,SITE,2000309,PP5120P101,MD-512-09MA-ISO-SQM-AA19-0009J-11,TAG WO MS,,PJ,EL,BROS0H0A1000-300-25,300,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,8,EA,
ISO,P,SITE,2000309,PP5120P101,MD-512-09MA-ISO-SQM-AA19-0009J-12,TAG WO MS,,PJ,EL,BROS0H0A1000-300-25,300,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,8,EA,
ISO,P,SITE,2000312,PP5120P117,MD-512-09MA-ISO-SQM-AA19-0009J-31,TAG WO MS,,PJ,EL,BROS0H0A1000-300-25,300,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,8,EA,
ISO,P,SITE,2000307,PP5120P11,MD-512-71H0-ISO-SLP-AA06-0933-02,TAG WO MS,,PJ,EL,BROS0H0A1000-100-25,100,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,6,EA,
ISO,P,SITE,2000307,PP5120P11,MD-512-71H0-ISO-SLP-AA06-0933-02,TAG WO MS,,PJ,EL,BROS0H0A1000-100-20,100,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000307,PP5120P11,MD-512-71H0-ISO-SCL-AA06-0744-02,TAG WO MS,,PJ,EL,BROS0H0A1000-50-25,50,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,5,EA,
ISO,P,SITE,2000307,PP5120P11,MD-512-71H0-ISO-SCL-AA06-0744-03,TAG WO MS,,PJ,EL,BROS0H0A1000-50-25,50,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,3,EA,
ISO,P,SITE,2415301,PP5120T68,MD-512-09MA-ISO-SLP-AA06-0218-20,TAG WO MS,,PJ,EL,BROS0H0A1000-50-25,50,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2415301,PP5120R64,MD-512-09MA-ISO-SLP-AA06-0218-04,TAG WO MS,,PJ,EL,BROS0H0A1000-50-20,50,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000312,PP5120P117,MD-512-09MA-ISO-SQM-AA19-0009J-29,TAG WO MS,,PJ,EL,BROS0H0A1000-300-25,300,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,8,EA,
ISO,P,SITE,2415301,PP5120T68,MD-512-09MA-ISO-SLP-AA06-0218-22,TAG WO MS,,PJ,EL,BROS0H0A1000-50-25,50,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2410301,PP5120R83,MD-512-09MA-ISO-SLP-AA06-0218-30,TAG WO MS,,PJ,EL,BROS0H0A1000-50-20,50,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2425301,PP5120R65,MD-512-09MA-ISO-SLP-AA06-0218-12,TAG WO MS,,PJ,EL,BROS0H0A1000-50-25,50,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000309,PP5120P101,MD-512-09MA-ISO-SQM-AA19-0009J-05,TAG WO MS,,PJ,EL,BROS0H0A1000-300-25,300,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,4,EA,
ISO,P,SITE,2000309,PP5120P101,MD-512-09MA-ISO-SQM-AA19-0009J-02,TAG WO MS,,PJ,EL,BROS0H0A1000-300-25,300,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,8,EA,
ISO,P,SITE,2000312,PP5120P117,MD-512-09MA-ISO-SQM-AA19-0009J-25,TAG WO MS,,PJ,EL,BROS0H0A1000-300-25,300,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,8,EA,
ISO,P,SITE,2000309,PP5120P101,MD-512-09MA-ISO-SQM-AA19-0009J-08,TAG WO MS,,PJ,EL,BROS0H0A1000-300-25,300,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,8,EA,
ISO,P,SITE,2000312,PP5120P117,MD-512-09MA-ISO-SQM-AA19-0009J-28,TAG WO MS,,PJ,EL,BROS0H0A1000-300-25,300,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,8,EA,
ISO,P,SITE,2000309,PP5120P101,MD-512-09MA-ISO-SQM-AA19-0009J-13,TAG WO MS,,PJ,EL,BROS0H0A1000-300-25,300,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,8,EA,
ISO,P,SITE,2000312,PP5120P117,MD-512-09MA-ISO-SQM-AA19-0009J-30,TAG WO MS,,PJ,EL,BROS0H0A1000-300-25,300,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,8,EA,
