SOURCETYPE,DISIPLINE,MASTER_REF,UNIT,AREA,ISO,ITR,IDENT_CODE,GROUP,PART,TAG_NUMBER,SIZE1,SIZE2,SIZE3,SIZE4,SHORT_DESC,DESCRIPTION,QTY,UNIT,
ISO,P,SITE,2410307,PP5120U85,MD-512-09WR-ISO-CWS-AG13-0203-01,TAG WO MS,,PV,VG,ABFFGC-1300,1300,,,,ABFFGC,VALVE BUTTERFLY FLGD G.O. CL. 150 FF DUCTILE IRON BODY,1.0,EA,
ISO,P,SITE,2410307,PP5120U85,MD-512-09WR-ISO-CWS-AG13-0830-02,TAG WO MS,,PV,VG,ABFFGC-1300,1300,,,,ABFFGC,VALVE BUTTERFLY FLGD G.O. CL. 150 FF DUCTILE IRON BODY,1.0,EA,
ISO,P,SITE,2410307,PP5120U85,MD-512-09WR-ISO-CWR-AG13-0828-01,TAG WO MS,,PV,VG,ABFFGC-1300,1300,,,,ABFFGC,VALVE BUTTERFLY FLGD G.O. CL. 150 FF DUCTILE IRON BODY,1.0,EA,
ISO,P,SITE,2410307,PP5120U85,MD-512-09WR-ISO-CWS-AG13-0204-01,TAG WO MS,,PV,VG,ABFFGC-1300,1300,,,,ABFFGC,VALVE BUTTERFLY FLGD G.O. CL. 150 FF DUCTILE IRON BODY,1.0,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09WO-ISO-WDW-AP11-0203-01,TAG WO MS,,PV,VG,ABFRVAB-400,400,,,,ABFRVAB,VALVE BUTTERFLY WAFER G.O. CL. 150 RF SS BODY,1.0,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09WO-ISO-WDW-AP11-0202-03,TAG WO MS,,PV,VG,ABFRVAB-400,400,,,,ABFRVAB,VALVE BUTTERFLY WAFER G.O. CL. 150 RF SS BODY,1.0,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09YF-ISO-CWR-AA02-0111-05,TAG WO MS,,PV,VG,ABFRVE-350,350,,,,ABFRVE,VALVE BUTTERFLY WAFER G.O. CL. 150 RF CS BODY,1.0,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09YF-ISO-CWS-AA02-0110-03,TAG WO MS,,PV,VG,ABFRVE-350,350,,,,ABFRVE,VALVE BUTTERFLY WAFER G.O. CL. 150 RF CS BODY,1.0,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09YF-ISO-CWR-AA02-0111-01,TAG WO MS,,PV,VG,ABFRVE-350,350,,,,ABFRVE,VALVE BUTTERFLY WAFER G.O. CL. 150 RF CS BODY,1.0,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09YF-ISO-CWS-AA02-0110-01,TAG WO MS,,PV,VG,ABFRVE-350,350,,,,ABFRVE,VALVE BUTTERFLY WAFER G.O. CL. 150 RF CS BODY,1.0,EA,
ISO,P,SITE,2000307,PP5120P12,MD-512-09YF-ISO-SCL-AA06-0008-01,TAG WO MS,,PV,VG,ACKRSA-80,80,,,,ACKRSA,VALVE CHECK SWING FLGD CL. 150 RF CS BODY,1.0,EA,
ISO,P,SITE,2000307,PP5120P12,MD-512-09YF-ISO-SCL-AA06-0006-01,TAG WO MS,,PV,VG,ACKRSA-80,80,,,,ACKRSA,VALVE CHECK SWING FLGD CL. 150 RF CS BODY,1.0,EA,
ISO,P,SITE,2000307,PP5120P12,MD-512-09YF-ISO-SCL-AA06-0011-01,TAG WO MS,,PV,VG,ACKRSA-80,80,,,,ACKRSA,VALVE CHECK SWING FLGD CL. 150 RF CS BODY,1.0,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09YF-ISO-SCL-AA06-0109-01,TAG WO MS,,PV,VG,ACKRSA-300,300,,,,ACKRSA,VALVE CHECK SWING FLGD CL. 150 RF CS BODY,1.0,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09YF-ISO-SCL-AA06-0115-01,TAG WO MS,,PV,VG,ACKRSA-300,300,,,,ACKRSA,VALVE CHECK SWING FLGD CL. 150 RF CS BODY,1.0,EA,
ISO,P,SITE,2000307,PP5120P109,MD-512-72V0-ISO-PAS-AZ02-0902-01,TAG WO MS,,PV,VG,AGARFB-50,50,,,,AGARFB,VALVE GATE FLGD CL. 150 RF CS BODY,1.0,EA,
ISO,P,SITE,2000307,PP5120P107,MD-512-72X0-ISO-PAS-AZ02-0301-01,TAG WO MS,,PV,VG,AGARFB-50,50,,,,AGARFB,VALVE GATE FLGD CL. 150 RF CS BODY,1.0,EA,
ISO,P,SITE,2000307,PP5120P09,MD-512-71K0-ISO-PAS-AZ02-0105-01,TAG WO MS,,PV,VG,AGARFB-50,50,,,,AGARFB,VALVE GATE FLGD CL. 150 RF CS BODY,1.0,EA,
ISO,P,SITE,2000307,PP5120P09,MD-512-71K0-ISO-PAS-AZ02-0109-01,TAG WO MS,,PV,VG,AGARFB-50,50,,,,AGARFB,VALVE GATE FLGD CL. 150 RF CS BODY,1.0,EA,
ISO,P,SITE,2000307,PP5120P09,MD-512-71K0-ISO-PAS-AZ02-0106-01,TAG WO MS,,PV,VG,AGARFB-50,50,,,,AGARFB,VALVE GATE FLGD CL. 150 RF CS BODY,1.0,EA,
ISO,P,SITE,2000307,PP5120P09,MD-512-71K0-ISO-PAS-AZ02-0110-01,TAG WO MS,,PV,VG,AGARFB-50,50,,,,AGARFB,VALVE GATE FLGD CL. 150 RF CS BODY,1.0,EA,
ISO,P,SITE,2000307,PP5120P108,MD-512-72V0-ISO-PAS-AZ02-0901-01,TAG WO MS,,PV,VG,AGARFB-50,50,,,,AGARFB,VALVE GATE FLGD CL. 150 RF CS BODY,1.0,EA,
ISO,P,SITE,2415301,PP5120P24,MD-512-09WM-ISO-PAS-AZ02-1801-01,TAG WO MS,,PV,VG,AGARFB-80,80,,,,AGARFB,VALVE GATE FLGD CL. 150 RF CS BODY,1.0,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09YF-ISO-SCL-AA06-0105-03,TAG WO MS,,PV,VG,AGARGG-400,400,,,,AGARGG,VALVE GATE FP FLGD G.O. CL. 150 RF CS BODY,1.0,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09YF-ISO-SCL-AA06-0103-01,TAG WO MS,,PV,VG,AGARGG-350,350,,,,AGARGG,VALVE GATE FP FLGD G.O. CL. 150 RF CS BODY,1.0,EA,
