SOURCETYPE,DISIPLINE,MASTER_REF,UNIT,AREA,ISO,ITR,IDENT_CODE,GROUP,PART,TAG_NUMBER,SIZE1,SIZE2,SIZE3,SIZE4,SHORT_DESC,DESCRIPTION,QTY,UNIT,
ISO,P,SITE,2000310,PP5120P22,MD-512-09MA-ISO-RAF-AS03-0101-08,TAG WO MS,,PJ,EL,E90BQ00D60C0-100,100,,,2,E90BQ00D60C0,ELBOW 90 DEG. LR BW WLD SCH.40S A403-WP904L,4.0,EA,
ISO,P,SITE,2000310,PP5120P26,MD-512-09MA-ISO-RAF-AS03-0101-15,TAG WO MS,,PJ,EL,E90BQ00D60C0-100,100,,,6,E90BQ00D60C0,ELBOW 90 DEG. LR BW WLD SCH.40S A403-WP904L,4.0,EA,
ISO,P,SITE,2000310,PP5120P21,MD-512-09MA-ISO-RAF-AS03-0101-19,TAG WO MS,,PJ,EL,E90BQ00D60C0-100,100,,,1,E90BQ00D60C0,ELBOW 90 DEG. LR BW WLD SCH.40S A403-WP904L,4.0,EA,
ISO,P,SITE,2000310,PP5120P35,MD-512-09MA-ISO-RAF-AS03-0101-20,TAG WO MS,,PJ,EL,E90S0H0D5000-25,25,,,5,E90S0H0D5000,ELBOW 90 DEG. SW CL. 3000 A182-F904L,2.0,EA,
ISO,P,SITE,2580301,PP5120P39,MD-512-09MA-ISO-WPD-AP12-0602-1A,TAG WO MS,,PJ,EL,E90S0H0DA000-25,25,,,9,E90S0H0DA000,ELBOW 90 DEG. SW CL. 3000 A182-F304,2.0,EA,
ISO,P,SITE,2535301,PP5120P38,MD-512-09MA-ISO-WPD-AP12-0609-02,TAG WO MS,,PJ,EL,E90S0H0DA000-25,25,,,8,E90S0H0DA000,ELBOW 90 DEG. SW CL. 3000 A182-F304,4.0,EA,
ISO,P,SITE,2580301,PP5120P37,MD-512-09MA-ISO-WPD-AP12-0605-02,TAG WO MS,,PJ,EL,E90S0H0DA000-25,25,,,7,E90S0H0DA000,ELBOW 90 DEG. SW CL. 3000 A182-F304,4.0,EA,
ISO,P,SITE,2000310,PP5120P35,MD-512-09MA-ISO-WPD-AP12-0603-02,TAG WO MS,,PJ,EL,E90S0H0DA000-25,25,,,5,E90S0H0DA000,ELBOW 90 DEG. SW CL. 3000 A182-F304,3.0,EA,
ISO,P,SITE,2000310,PP5120P36,MD-512-09MA-ISO-WPD-AP12-0607-03,TAG WO MS,,PJ,EL,E90S0H0DA000-25,25,,,6,E90S0H0DA000,ELBOW 90 DEG. SW CL. 3000 A182-F304,2.0,EA,
ISO,P,SITE,2000310,PP5120P34,MD-512-09MA-ISO-WPD-AP12-0611-02,TAG WO MS,,PJ,EL,E90S0H0DA000-25,25,,,4,E90S0H0DA000,ELBOW 90 DEG. SW CL. 3000 A182-F304,3.0,EA,
ISO,P,SITE,2000307,PP5120P11,MD-512-71H0-ISO-PAS-AZ02-1407-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,1,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
ISO,P,SITE,2000307,PP5120P11,MD-512-71H0-ISO-PAS-AZ02-1403-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,1,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
ISO,P,SITE,2000307,PP5120P11,MD-512-71H0-ISO-PAS-AZ02-1405-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,1,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
ISO,P,SITE,2000307,PP5120P04,MD-512-72D0-ISO-PAS-AZ02-0709-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,4,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
ISO,P,SITE,2000307,PP5120P15,MD-512-09WM-ISO-PAS-AZ02-2205-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,5,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
ISO,P,SITE,2000307,PP5120P15,MD-512-09WM-ISO-PAS-AZ02-2204-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,5,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09YF-ISO-PAS-AZ02-0402-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,7,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,3.0,EA,
ISO,P,SITE,2000307,PP5120P03,MD-512-72D0-ISO-PAS-AZ02-0706-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,3,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
ISO,P,SITE,2000307,PP5120P04,MD-512-72D0-ISO-PAS-AZ02-0710-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,4,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
ISO,P,SITE,2000307,PP5120P15,MD-512-09WH-ISO-PAS-AZ02-0203-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,5,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
ISO,P,SITE,2000307,PP5120P15,MD-512-09WM-ISO-PAS-AZ02-2203-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,5,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
ISO,P,SITE,2000307,PP5120P15,MD-512-09WM-ISO-PAS-AZ02-2206-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,5,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
ISO,P,SITE,2000307,PP5120P15,MD-512-09WM-ISO-PAS-AZ02-2202-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,5,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
ISO,P,SITE,2000307,PP5120P04,MD-512-72D0-ISO-PAS-AZ02-0708-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,4,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
ISO,P,SITE,2000307,PP5120P15,MD-512-09WM-ISO-PAS-AZ02-2201-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,5,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
ISO,P,SITE,2000307,PP5120P03,MD-512-72D0-ISO-PAS-AZ02-0703-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,3,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
ISO,P,SITE,2000307,PP5120P03,MD-512-72D0-ISO-PAS-AZ02-0704-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,3,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
ISO,P,SITE,2000307,PP5120P15,MD-512-09WH-ISO-PAS-AZ02-0202-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,5,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
