SOURCETYPE,DISIPLINE,MASTER REF,UNIT,AREA,ISO,ITR,IDENTCODE,GROUP,PART,TAGNUMBER,SIZE1,SIZE2,SIZE3,SIZE4,SHORT DESC,DESCRIPTION,QTY,UNIT,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROS0H0A1000-350-25,350,25, ,210,BROS0H0A1000                                      ,BRANCH OUTLET SW CL. 3000 A105,2,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROS0H0A1000-350-40,350,40, ,210,BROS0H0A1000                                      ,BRANCH OUTLET SW CL. 3000 A105,2,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROS0H0A1000-400-25,400,25, ,210,BROS0H0A1000                                      ,BRANCH OUTLET SW CL. 3000 A105,3,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROS0H0A1000-450-40,450,40, ,210,BROS0H0A1000                                      ,BRANCH OUTLET SW CL. 3000 A105,1,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROT0H0A1000-50-20,50,20, ,210,BROT0H0A1000                                      ,BRANCH OUTLET THRD CL. 3000 A105,2,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROT0H0A1000-50-25,50,25, ,210,BROT0H0A1000                                      ,BRANCH OUTLET THRD CL. 3000 A105,44,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROT0H0A1000-150-25,150,25, ,210,BROT0H0A1000                                      ,BRANCH OUTLET THRD CL. 3000 A105,2,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,CAPBL00AB0B0-50,50,, ,210,CAPBL00AB0B0                                      ,CAP BW SMLS SCH.STD A234-WPB,197,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,CAPBL00AB0B0-100,100,, ,210,CAPBL00AB0B0                                      ,CAP BW SMLS SCH.STD A234-WPB,4,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,CAPBL00AB0B0-250,250,, ,210,CAPBL00AB0B0                                      ,CAP BW SMLS SCH.STD A234-WPB,11,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,CAPBL00AB0B0-400,400,, ,210,CAPBL00AB0B0                                      ,CAP BW SMLS SCH.STD A234-WPB,1,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,CAPS0H0A1000-25,25,, ,210,CAPS0H0A1000                                      ,CAP SW CL. 3000 A105,1,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E45BK00AB0B0-50,50,, ,210,E45BK00AB0B0                                      ,ELBOW 45 DEG. LR BW SMLS SCH.160 A234-WPB,0,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E45BL00AB0B0-50,50,, ,210,E45BL00AB0B0                                      ,ELBOW 45 DEG. LR BW SMLS SCH.STD A234-WPB,25,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E45BL00AB0B0-80,80,, ,210,E45BL00AB0B0                                      ,ELBOW 45 DEG. LR BW SMLS SCH.STD A234-WPB,12,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E45BL00AB0B0-100,100,, ,210,E45BL00AB0B0                                      ,ELBOW 45 DEG. LR BW SMLS SCH.STD A234-WPB,23,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E45BL00AB0B0-150,150,, ,210,E45BL00AB0B0                                      ,ELBOW 45 DEG. LR BW SMLS SCH.STD A234-WPB,2,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E45BL00AB0B0-200,200,, ,210,E45BL00AB0B0                                      ,ELBOW 45 DEG. LR BW SMLS SCH.STD A234-WPB,2,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E45BL00AB0B0-250,250,, ,210,E45BL00AB0B0                                      ,ELBOW 45 DEG. LR BW SMLS SCH.STD A234-WPB,1,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E45BL00AB0B0-300,300,, ,210,E45BL00AB0B0                                      ,ELBOW 45 DEG. LR BW SMLS SCH.STD A234-WPB,7,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E45BL00AB0B0-400,400,, ,210,E45BL00AB0B0                                      ,ELBOW 45 DEG. LR BW SMLS SCH.STD A234-WPB,11,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E45BL00AB0C0-450,450,, ,210,E45BL00AB0C0                                      ,ELBOW 45 DEG. LR BW WLD SCH.STD A234-WPB,14,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E45BL00AB0C0-500,500,, ,210,E45BL00AB0C0                                      ,ELBOW 45 DEG. LR BW WLD SCH.STD A234-WPB,9,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E45BL00AB0C0-600,600,, ,210,E45BL00AB0C0                                      ,ELBOW 45 DEG. LR BW WLD SCH.STD A234-WPB,4,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E45BL00AB0C0-750,750,, ,210,E45BL00AB0C0                                      ,ELBOW 45 DEG. LR BW WLD SCH.STD A234-WPB,7,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E45BM00AB0B0-100,100,, ,210,E45BM00AB0B0                                      ,ELBOW 45 DEG. LR BW SMLS SCH.XS A234-WPB,0,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E45S0H0A1000-25,25,, ,210,E45S0H0A1000                                      ,ELBOW 45 DEG. SW CL. 3000 A105,17,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E45T0H0A7000-25,25,, ,210,E45T0H0A7000                                      ,ELBOW 45 DEG. THRD CL. 3000 A105 GALV,1,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90BE00AB0B0-200,200,, ,210,E90BE00AB0B0                                      ,ELBOW 90 DEG. LR BW SMLS SCH.60 A234-WPB,0,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90BK00AB0B0-50,50,, ,210,E90BK00AB0B0                                      ,ELBOW 90 DEG. LR BW SMLS SCH.160 A234-WPB,0,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90BL00AB0B0-50,50,, ,210,E90BL00AB0B0                                      ,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,229,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90BL00AB0B0-80,80,, ,210,E90BL00AB0B0                                      ,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,186,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90BL00AB0B0-100,100,, ,210,E90BL00AB0B0                                      ,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,213,EA,
