PROJECT,DESCIPLINE,MASTER_REF,SOURCE_TYPE,UNIT,AREA,ISODRAWINGS,PIPINGCLASS,TOT_QTY,QTY_UOM,COMMODITYCODE,COMPLETE_FLAG,ISO_REV,DRAWING_TYPE,REVISION_DATE,GCP_NOM_DIAM,SIZE1_UOM,RCP_NOM_DIAM,SIZE2_UOM,SPEC_OVERRIDE,WORKSITE,DESCRIPTION,RECORD_TYPE,MODEL_CODE,ISODRAWINGSATTR1
NL006945,P,SITE,ISO,09MA,PP5120P54,209MA0212SLP12,AA06_J,1,EA,PNPPM00AB050,0,C01,D,4/17/2015,25,MM,,,1,S,PIPE NIPPLE PBE L = 175 MM SCH.XS A106-GR.B,COMP,NIP,209MA0212SLP12
NL006945,P,SITE,ISO,09MA,PP5120P23,209MA0602WPD73,AP12_J,33,M,PIPEP00DA0C0,0,C01,D,4/17/2015,150,MM,,,1,S,PIPE WLD SCH.10S A312-TP304,PIPE,FPIPE,209MA0602WPD73
NL006945,P,SITE,ISO,09MA,PP5120P23,209MA0602WPD05,AP12_J,2,EA,GKFR0A0Z2000,0,C01,D,4/17/2015,,MM,,,1,S,"GASKET FLAT RING CL. 150 NITRILE BUTADIENE, 60ï¿?SHORE A",GASK,,209MA0602WPD05
NL006945,P,SITE,ISO,09MA,PP5120P24,209MA1103CSS04,AA11_J,25,M,PIPEL00AA0C0,0,C01,D,4/17/2015,80,MM,,,1,S,PIPE WLD SCH.STD A53-GR.B,PIPE,FPIPE,209MA1103CSS04
NL006945,P,SITE,ISO,09MA,PP5120P23,209MA0315SCL02,AA06_J,1,EA,FLSW0AAA1000,0,C01,D,4/17/2015,20,MM,,,1,S,FLANGE SW CL. 150 RF A105,COMP,FSW,209MA0315SCL02
NL006945,P,SITE,ISO,09MA,PP5120P24,209MA0322SCL15,AA06_J,28.6,M,PIPEL00AA0C0,0,C01,D,4/17/2015,50,MM,,,1,S,PIPE WLD SCH.STD A53-GR.B,PIPE,FPIPE,209MA0322SCL15
NL006945,P,SITE,ISO,09MA,PP5120P23,209MA0322SCL24,AA06_J,3,EA,BROS0H0A1000,0,C01,D,4/17/2015,50,MM,,,1,S,BRANCH OUTLET SW CL. 3000 A105,COMP,SOL,209MA0322SCL24
NL006945,P,SITE,ISO,09MA,PP5120P23,209MA0715IAS08,AP10_J,33,M,PIPEP00DB0C0,0,C01,D,4/17/2015,100,MM,,,1,S,PIPE WLD SCH.10S A312-TP304L,PIPE,PIPE,209MA0715IAS08
NL006945,P,SITE,ISO,09MA,PP5120P21,209MA0314SCL02,AA06_J,3,EA,E90BL00AB0B0,0,C01,D,4/17/2015,80,MM,,,1,S,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,COMP,E90LR,209MA0314SCL02
NL006945,P,SITE,ISO,09MA,PP5120P27,209MA0602WPD15,AP12_J,2,EA,BROS0H0DA000,0,C01,D,4/17/2015,150,MM,,,1,S,BRANCH OUTLET SW CL. 3000 A182-F304,COMP,SOL,209MA0602WPD15
NL006945,P,SITE,ISO,09MA,PP5120P23,209MA1301CWS03,AA02_J,1,EA,RPADLL0AA000,0,C01,D,4/17/2015,650,MM,,,1,S,REINFORCED PAD SCH.STD X SCH.STD A53-GR.B,COMP,RPAD,209MA1301CWS03
NL006945,P,SITE,ISO,09MA,PP5120P27,209MA0101RAF10,AS03_J,2,EA,E90BQ00D60C0,0,C01,D,4/17/2015,100,MM,,,1,S,ELBOW 90 DEG. LR BW WLD SCH.40S A403-WP904L,COMP,E90LR,209MA0101RAF10
NL006945,P,SITE,ISO,09MA,PP5120P25,209MA0506DFL04,AA06_J,1,EA,FLBL0AAA1000,0,C01,D,4/17/2015,20,MM,,,1,S,FLANGE BLIND CL. 150 RF A105,COMP,FBLD,209MA0506DFL04
