PROJECT,DESCIPLINE,MASTER_REF,SOURCE_TYPE,UNIT,AREA,ISODRAWINGS,PIPINGCLASS,TOT_QTY,QTY_UOM,COMMODITYCODE,COMPLETE_FLAG,ISO_REV,DRAWING_TYPE,REVISION_DATE,GCP_NOM_DIAM,SIZE1_UOM,RCP_NOM_DIAM,SIZE2_UOM,SPEC_OVERRIDE,WORKSITE,DESCRIPTION,RECORD_TYPE,MODEL_CODE,ISODRAWINGSATTR1
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,2,EA,BROS0H0A1000                                      ,,,,4/20/2015,350,MM,25,MM,,,BRANCH OUTLET SW CL. 3000 A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,2,EA,BROS0H0A1000                                      ,,,,4/20/2015,350,MM,40,MM,,,BRANCH OUTLET SW CL. 3000 A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,3,EA,BROS0H0A1000                                      ,,,,4/20/2015,400,MM,25,MM,,,BRANCH OUTLET SW CL. 3000 A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,1,EA,BROS0H0A1000                                      ,,,,4/20/2015,450,MM,40,MM,,,BRANCH OUTLET SW CL. 3000 A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,2,EA,BROT0H0A1000                                      ,,,,4/20/2015,50,MM,20,MM,,,BRANCH OUTLET THRD CL. 3000 A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,44,EA,BROT0H0A1000                                      ,,,,4/20/2015,50,MM,25,MM,,,BRANCH OUTLET THRD CL. 3000 A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,2,EA,BROT0H0A1000                                      ,,,,4/20/2015,150,MM,25,MM,,,BRANCH OUTLET THRD CL. 3000 A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,197,EA,CAPBL00AB0B0                                      ,,,,4/20/2015,50,MM,,,,,CAP BW SMLS SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,4,EA,CAPBL00AB0B0                                      ,,,,4/20/2015,100,MM,,,,,CAP BW SMLS SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,11,EA,CAPBL00AB0B0                                      ,,,,4/20/2015,250,MM,,,,,CAP BW SMLS SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,1,EA,CAPBL00AB0B0                                      ,,,,4/20/2015,400,MM,,,,,CAP BW SMLS SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,1,EA,CAPS0H0A1000                                      ,,,,4/20/2015,25,MM,,,,,CAP SW CL. 3000 A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,0,EA,E45BK00AB0B0                                      ,,,,4/20/2015,50,MM,,,,,ELBOW 45 DEG. LR BW SMLS SCH.160 A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,25,EA,E45BL00AB0B0                                      ,,,,4/20/2015,50,MM,,,,,ELBOW 45 DEG. LR BW SMLS SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,12,EA,E45BL00AB0B0                                      ,,,,4/20/2015,80,MM,,,,,ELBOW 45 DEG. LR BW SMLS SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,23,EA,E45BL00AB0B0                                      ,,,,4/20/2015,100,MM,,,,,ELBOW 45 DEG. LR BW SMLS SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,2,EA,E45BL00AB0B0                                      ,,,,4/20/2015,150,MM,,,,,ELBOW 45 DEG. LR BW SMLS SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,2,EA,E45BL00AB0B0                                      ,,,,4/20/2015,200,MM,,,,,ELBOW 45 DEG. LR BW SMLS SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,1,EA,E45BL00AB0B0                                      ,,,,4/20/2015,250,MM,,,,,ELBOW 45 DEG. LR BW SMLS SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,7,EA,E45BL00AB0B0                                      ,,,,4/20/2015,300,MM,,,,,ELBOW 45 DEG. LR BW SMLS SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,11,EA,E45BL00AB0B0                                      ,,,,4/20/2015,400,MM,,,,,ELBOW 45 DEG. LR BW SMLS SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,14,EA,E45BL00AB0C0                                      ,,,,4/20/2015,450,MM,,,,,ELBOW 45 DEG. LR BW WLD SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,9,EA,E45BL00AB0C0                                      ,,,,4/20/2015,500,MM,,,,,ELBOW 45 DEG. LR BW WLD SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,4,EA,E45BL00AB0C0                                      ,,,,4/20/2015,600,MM,,,,,ELBOW 45 DEG. LR BW WLD SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,7,EA,E45BL00AB0C0                                      ,,,,4/20/2015,750,MM,,,,,ELBOW 45 DEG. LR BW WLD SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,0,EA,E45BM00AB0B0                                      ,,,,4/20/2015,100,MM,,,,,ELBOW 45 DEG. LR BW SMLS SCH.XS A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,17,EA,E45S0H0A1000                                      ,,,,4/20/2015,25,MM,,,,,ELBOW 45 DEG. SW CL. 3000 A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,1,EA,E45T0H0A7000                                      ,,,,4/20/2015,25,MM,,,,,ELBOW 45 DEG. THRD CL. 3000 A105 GALV,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,0,EA,E90BE00AB0B0                                      ,,,,4/20/2015,200,MM,,,,,ELBOW 90 DEG. LR BW SMLS SCH.60 A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,0,EA,E90BK00AB0B0                                      ,,,,4/20/2015,50,MM,,,,,ELBOW 90 DEG. LR BW SMLS SCH.160 A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,229,EA,E90BL00AB0B0                                      ,,,,4/20/2015,50,MM,,,,,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,186,EA,E90BL00AB0B0                                      ,,,,4/20/2015,80,MM,,,,,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,213,EA,E90BL00AB0B0                                      ,,,,4/20/2015,100,MM,,,,,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,193,EA,E90BL00AB0B0                                      ,,,,4/20/2015,150,MM,,,,,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,25,EA,E90BL00AB0B0                                      ,,,,4/20/2015,200,MM,,,,,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,28,EA,E90BL00AB0B0                                      ,,,,4/20/2015,250,MM,,,,,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,221,EA,E90BL00AB0B0                                      ,,,,4/20/2015,300,MM,,,,,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,15,EA,E90BL00AB0B0                                      ,,,,4/20/2015,350,MM,,,,,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,88,EA,E90BL00AB0B0                                      ,,,,4/20/2015,400,MM,,,,,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,0,EA,E90BL00AB0B0                                      ,,,,4/20/2015,450,MM,,,,,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,39,EA,E90BL00AB0C0                                      ,,,,4/20/2015,450,MM,,,,,ELBOW 90 DEG. LR BW WLD SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,4,EA,E90BL00AB0C0                                      ,,,,4/20/2015,500,MM,,,,,ELBOW 90 DEG. LR BW WLD SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,9,EA,E90BL00AB0C0                                      ,,,,4/20/2015,600,MM,,,,,ELBOW 90 DEG. LR BW WLD SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,7,EA,E90BL00AB0C0                                      ,,,,4/20/2015,650,MM,,,,,ELBOW 90 DEG. LR BW WLD SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,15,EA,E90BL00AB0C0                                      ,,,,4/20/2015,750,MM,,,,,ELBOW 90 DEG. LR BW WLD SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,0,EA,E90BM00AB0B0                                      ,,,,4/20/2015,100,MM,,,,,ELBOW 90 DEG. LR BW SMLS SCH.XS A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,0,EA,E90BM00AB0B0                                      ,,,,4/20/2015,150,MM,,,,,ELBOW 90 DEG. LR BW SMLS SCH.XS A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,0,EA,E90BM00AB0B0                                      ,,,,4/20/2015,250,MM,,,,,ELBOW 90 DEG. LR BW SMLS SCH.XS A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,0,EA,E90BM00AB0B0                                      ,,,,4/20/2015,300,MM,,,,,ELBOW 90 DEG. LR BW SMLS SCH.XS A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,397,EA,E90S0H0A1000                                      ,,,,4/20/2015,20,MM,,,,,ELBOW 90 DEG. SW CL. 3000 A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,1177,EA,E90S0H0A1000                                      ,,,,4/20/2015,25,MM,,,,,ELBOW 90 DEG. SW CL. 3000 A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,13,EA,E90S0H0A1000                                      ,,,,4/20/2015,40,MM,,,,,ELBOW 90 DEG. SW CL. 3000 A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,143,EA,E90T0H0A7000                                      ,,,,4/20/2015,25,MM,,,,,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,0,EA,E9SBA00AB0C0                                      ,,,,4/20/2015,600,MM,,,,,ELBOW 90 DEG. SR BW WLD SCH.10 A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,0,EA,E9SBL00AB0C0                                      ,,,,4/20/2015,80,MM,,,,,ELBOW 90 DEG. SR BW WLD SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,0,EA,E9SBL00AB0C0                                      ,,,,4/20/2015,150,MM,,,,,ELBOW 90 DEG. SR BW WLD SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,0,EA,E9SBL00AB0C0                                      ,,,,4/20/2015,300,MM,,,,,ELBOW 90 DEG. SR BW WLD SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,0,EA,E9SBL00AB0C0                                      ,,,,4/20/2015,350,MM,,,,,ELBOW 90 DEG. SR BW WLD SCH.STD A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,0,EA,ECBWM00AB0B0                                      ,,,,4/20/2015,250,MM,,,,,EQUAL CROSS BUTT WELDED SMLS SCH.XS A234-WPB,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,191,EA,FLBL0AAA1000                                      ,,,,4/20/2015,20,MM,,,,,FLANGE BLIND CL. 150 RF A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,33,EA,FLBL0AAA1000                                      ,,,,4/20/2015,25,MM,,,,,FLANGE BLIND CL. 150 RF A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,9,EA,FLBL0AAA1000                                      ,,,,4/20/2015,40,MM,,,,,FLANGE BLIND CL. 150 RF A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,22,EA,FLBL0AAA1000                                      ,,,,4/20/2015,50,MM,,,,,FLANGE BLIND CL. 150 RF A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,2,EA,FLBL0AAA1000                                      ,,,,4/20/2015,80,MM,,,,,FLANGE BLIND CL. 150 RF A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,26,EA,FLBL0AAA1000                                      ,,,,4/20/2015,100,MM,,,,,FLANGE BLIND CL. 150 RF A105,,,
