PROJECT,DESCIPLINE,MASTER_REF,SOURCE_TYPE,UNIT_NO,AREA,ISODRAWINGS,PIPINGCLASS,TOT_QTY,QTY_UOM,COMMODITYCODE,COMPLETE_FLAG,ISO_REV,DRAWING_TYPE,REVISION_DATE,GCP_NOM_DIAM,SIZE1_UOM,RCP_NOM_DIAM,SIZE2_UOM,SPEC_OVERRIDE,WORKSITE,DESCRIPTION
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-641,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-642,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-643,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-644,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-645,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-681,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-682,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-683,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-684,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-685,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
