NL694500,P,SITE,ISO,209MA,PP5120P27,209MA0101RAF10,AS03_J,2,EA,E90BQ00D60C0,1,C01,D,04/17/2015,100,MM,,,1,F,ELBOW 90 DEG. LR BW WLD SCH.40S A403-WP904L
NL694500,P,SITE,ISO,209MA,PP5120P27,209MA0101RAF11,AS03_J,4,EA,E90BQ00D60C0,1,C01,D,04/17/2015,100,MM,,,1,F,ELBOW 90 DEG. LR BW WLD SCH.40S A403-WP904L
NL694500,P,SITE,ISO,209MA,PP5120P27,209MA0101RAF13,AS03_J,4,EA,E90BQ00D60C0,1,C01,D,04/17/2015,100,MM,,,1,F,ELBOW 90 DEG. LR BW WLD SCH.40S A403-WP904L
NL694500,P,SITE,ISO,209MA,PP5120P26,209MA0101RAF15,AS03_J,4,EA,E90BQ00D60C0,1,C01,D,04/17/2015,100,MM,,,1,F,ELBOW 90 DEG. LR BW WLD SCH.40S A403-WP904L
NL694500,P,SITE,ISO,209MA,PP5120P21,209MA0101RAF16,AS03_J,2,EA,E90BQ00D60C0,1,C01,D,04/17/2015,100,MM,,,1,F,ELBOW 90 DEG. LR BW WLD SCH.40S A403-WP904L
NL694500,P,SITE,ISO,209MA,PP5120P21,209MA0101RAF17,AS03_J,4,EA,E90BQ00D60C0,1,C01,D,04/17/2015,100,MM,,,1,F,ELBOW 90 DEG. LR BW WLD SCH.40S A403-WP904L
NL694500,P,SITE,ISO,209MA,PP5120P21,209MA0101RAF19,AS03_J,4,EA,E90BQ00D60C0,1,C01,D,04/17/2015,100,MM,,,1,F,ELBOW 90 DEG. LR BW WLD SCH.40S A403-WP904L
NL694500,P,SITE,ISO,209MA,PP5120P35,209MA0101RAF20,AS03_J,2,EA,E90S0H0D5000,1,C01,D,04/17/2015,25,MM,,,1,F,ELBOW 90 DEG. SW CL. 3000 A182-F904L
NL694500,P,SITE,ISO,09MA,PP5120P39,209MA0602WPD1A,AP12_J,2,EA,E90S0H0DA000,1,C01,D,05/15/2015,25,MM,,,1,S,ELBOW 90 DEG. SW CL. 3000 A182-F304
NL694500,P,SITE,ISO,09MA,PP5120P38,209MA0609WPD02,AP12,4,EA,E90S0H0DA000,1,C01,D,04/24/2015,25,MM,,,1,S,ELBOW 90 DEG. SW CL. 3000 A182-F304
NL694500,P,SITE,ISO,09MA,PP5120P37,209MA0605WPD02,AP12,4,EA,E90S0H0DA000,1,C01,D,04/24/2015,25,MM,,,1,S,ELBOW 90 DEG. SW CL. 3000 A182-F304
NL694500,P,SITE,ISO,209MA,PP5120P35,209MA0603WPD02,AP12_J,3,EA,E90S0H0DA000,1,C01,D,04/17/2015,25,MM,,,1,F,ELBOW 90 DEG. SW CL. 3000 A182-F304
NL694500,P,SITE,ISO,209MA,PP5120P36,209MA0607WPD03,AP12_J,2,EA,E90S0H0DA000,1,C01,D,04/17/2015,25,MM,,,1,F,ELBOW 90 DEG. SW CL. 3000 A182-F304
NL694500,P,SITE,ISO,209MA,PP5120P34,209MA0611WPD02,AP12_J,3,EA,E90S0H0DA000,1,C01,D,04/17/2015,25,MM,,,1,F,ELBOW 90 DEG. SW CL. 3000 A182-F304
NL694500,P,SITE,ISO,71H0,PP5120P11,271H01407PAS01,AZ02_J,2,EA,E90T0H0A7000,1,C01,D,05/22/2015,25,MM,,,1,F,ELBOW 90 DEG. THRD CL. 3000 A105 GALV
NL694500,P,SITE,ISO,71H0,PP5120P11,271H01403PAS01,AZ02_J,2,EA,E90T0H0A7000,1,C01,D,05/22/2015,25,MM,,,1,F,ELBOW 90 DEG. THRD CL. 3000 A105 GALV
NL694500,P,SITE,ISO,71H0,PP5120P11,271H01405PAS01,AZ02_J,2,EA,E90T0H0A7000,1,C01,D,05/22/2015,25,MM,,,1,F,ELBOW 90 DEG. THRD CL. 3000 A105 GALV
NL694500,P,SITE,ISO,72D0,PP5120P04,272D00709PAS01,AZ02_J,2,EA,E90T0H0A7000,1,C01,D,05/15/2015,25,MM,,,1,F,ELBOW 90 DEG. THRD CL. 3000 A105 GALV
NL694500,P,SITE,ISO,09WM,PP5120P15,209WM2205PAS01,AZ02_J,2,EA,E90T0H0A7000,1,C01,D,05/15/2015,25,MM,,,1,F,ELBOW 90 DEG. THRD CL. 3000 A105 GALV
NL694500,P,SITE,ISO,09WM,PP5120P15,209WM2204PAS01,AZ02_J,2,EA,E90T0H0A7000,1,C01,D,05/15/2015,25,MM,,,1,F,ELBOW 90 DEG. THRD CL. 3000 A105 GALV
NL694500,P,SITE,ISO,09YF,PP5120P17,209YF0402PAS01,AZ02_J,3,EA,E90T0H0A7000,1,C01,D,05/15/2015,25,MM,,,1,F,ELBOW 90 DEG. THRD CL. 3000 A105 GALV
NL694500,P,SITE,ISO,72D0,PP5120P03,272D00706PAS01,AZ02_J,2,EA,E90T0H0A7000,1,C01,D,05/15/2015,25,MM,,,1,F,ELBOW 90 DEG. THRD CL. 3000 A105 GALV
NL694500,P,SITE,ISO,72D0,PP5120P04,272D00710PAS01,AZ02_J,2,EA,E90T0H0A7000,1,C01,D,05/15/2015,25,MM,,,1,F,ELBOW 90 DEG. THRD CL. 3000 A105 GALV
NL694500,P,SITE,ISO,09WH,PP5120P15,209WH0203PAS01,AZ02_J,2,EA,E90T0H0A7000,1,C01,D,05/15/2015,25,MM,,,1,F,ELBOW 90 DEG. THRD CL. 3000 A105 GALV
NL694500,P,SITE,ISO,09WM,PP5120P15,209WM2203PAS01,AZ02_J,2,EA,E90T0H0A7000,1,C01,D,05/15/2015,25,MM,,,1,F,ELBOW 90 DEG. THRD CL. 3000 A105 GALV
NL694500,P,SITE,ISO,09WM,PP5120P15,209WM2206PAS01,AZ02_J,2,EA,E90T0H0A7000,1,C01,D,05/15/2015,25,MM,,,1,F,ELBOW 90 DEG. THRD CL. 3000 A105 GALV
NL694500,P,SITE,ISO,09WM,PP5120P15,209WM2202PAS01,AZ02_J,2,EA,E90T0H0A7000,1,C01,D,05/15/2015,25,MM,,,1,F,ELBOW 90 DEG. THRD CL. 3000 A105 GALV
NL694500,P,SITE,ISO,72D0,PP5120P04,272D00708PAS01,AZ02_J,2,EA,E90T0H0A7000,1,C01,D,05/15/2015,25,MM,,,1,F,ELBOW 90 DEG. THRD CL. 3000 A105 GALV
NL694500,P,SITE,ISO,09WM,PP5120P15,209WM2201PAS01,AZ02_J,2,EA,E90T0H0A7000,1,C01,D,05/15/2015,25,MM,,,1,F,ELBOW 90 DEG. THRD CL. 3000 A105 GALV
NL694500,P,SITE,ISO,72D0,PP5120P03,272D00703PAS01,AZ02_J,2,EA,E90T0H0A7000,1,C01,D,05/15/2015,25,MM,,,1,F,ELBOW 90 DEG. THRD CL. 3000 A105 GALV
NL694500,P,SITE,ISO,72D0,PP5120P03,272D00704PAS01,AZ02_J,2,EA,E90T0H0A7000,1,C01,D,05/15/2015,25,MM,,,1,F,ELBOW 90 DEG. THRD CL. 3000 A105 GALV
NL694500,P,SITE,ISO,09WH,PP5120P15,209WH0202PAS01,AZ02_J,2,EA,E90T0H0A7000,1,C01,D,05/15/2015,25,MM,,,1,F,ELBOW 90 DEG. THRD CL. 3000 A105 GALV
